Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,YearMonth
1,OD-000001,2021-05-10,2021-05-14,Second Class,Customer-0382,Customer-0382,Home Office,United States,Chicago,Texas,62395,Central,PROD-6160,Office Supplies,Paper,Paper - Item 63,107.88,9,0.15,48.24,2021-05
2,OD-000001,2021-05-10,2021-05-12,Same Day,Customer-0382,Customer-0382,Consumer,United States,San Antonio,Texas,49332,South,PROD-5928,Office Supplies,Supplies,Supplies - Item 65,947.18,3,0.2,79.31,2021-05
3,OD-000002,2033-10-04,2033-10-07,Standard Class,Customer-0532,Customer-0532,Consumer,United States,Philadelphia,California,32852,South,PROD-1929,Technology,Machines,Machines - Item 48,225.71,6,0.0,-23.69,2033-10
4,OD-000002,2033-10-04,2033-10-05,Standard Class,Customer-0532,Customer-0532,Corporate,United States,Phoenix,Pennsylvania,52359,South,PROD-1442,Technology,Machines,Machines - Item 67,964.38,4,0.05,-40.25,2033-10
5,OD-000002,2033-10-04,2033-10-10,First Class,Customer-0532,Customer-0532,Home Office,United States,Los Angeles,Illinois,36417,West,PROD-7268,Technology,Accessories,Accessories - Item 15,492.97,5,0.05,-20.97,2033-10
6,OD-000003,2033-04-23,2033-04-24,Standard Class,Customer-0956,Customer-0956,Consumer,United States,Phoenix,Illinois,73918,West,PROD-6619,Furniture,Furnishings,Furnishings - Item 17,391.66,6,0.15,195.03,2033-04
7,OD-000003,2033-04-23,2033-04-24,Standard Class,Customer-0956,Customer-0956,Consumer,United States,Los Angeles,Arizona,96836,Central,PROD-1946,Technology,Accessories,Accessories - Item 3,309.31,3,0.05,-35.59,2033-04
8,OD-000003,2033-04-23,2033-04-29,First Class,Customer-0956,Customer-0956,Consumer,United States,Houston,Illinois,10358,South,PROD-4456,Office Supplies,Supplies,Supplies - Item 92,587.15,3,0.2,106.56,2033-04
9,OD-000004,2033-03-19,2033-03-24,First Class,Customer-0152,Customer-0152,Consumer,United States,San Diego,Texas,90388,East,PROD-3660,Technology,Phones,Phones - Item 36,907.87,5,0.05,130.54,2033-03
10,OD-000004,2033-03-19,2033-03-24,First Class,Customer-0152,Customer-0152,Corporate,United States,Phoenix,Pennsylvania,65690,Central,PROD-1475,Furniture,Furnishings,Furnishings - Item 5,796.27,4,0.0,169.27,2033-03
11,OD-000004,2033-03-19,2033-03-23,Second Class,Customer-0152,Customer-0152,Consumer,United States,Chicago,Illinois,70011,South,PROD-7963,Office Supplies,Labels,Labels - Item 96,497.01,7,0.05,72.85,2033-03
12,OD-000004,2033-03-19,2033-03-22,Standard Class,Customer-0152,Customer-0152,Corporate,United States,San Diego,Texas,30878,Central,PROD-3808,Office Supplies,Binders,Binders - Item 81,866.92,2,0.15,156.88,2033-03
13,OD-000005,2029-04-30,2029-05-04,Standard Class,Customer-0562,Customer-0562,Consumer,United States,New York,New York,25072,South,PROD-8742,Technology,Copiers,Copiers - Item 38,263.49,5,0.2,192.88,2029-04
14,OD-000005,2029-04-30,2029-05-05,First Class,Customer-0562,Customer-0562,Home Office,United States,San Diego,California,37103,West,PROD-4420,Technology,Phones,Phones - Item 86,725.48,6,0.05,-16.39,2029-04
15,OD-000005,2029-04-30,2029-05-06,Standard Class,Customer-0562,Customer-0562,Corporate,United States,New York,California,91442,South,PROD-5152,Technology,Copiers,Copiers - Item 94,18.77,3,0.05,119.21,2029-04
16,OD-000005,2029-04-30,2029-05-01,Same Day,Customer-0562,Customer-0562,Home Office,United States,Philadelphia,Texas,22866,East,PROD-4363,Technology,Phones,Phones - Item 25,636.58,5,0.2,138.36,2029-04
17,OD-000006,2027-06-20,2027-06-23,Second Class,Customer-0689,Customer-0689,Home Office,United States,San Diego,Texas,87064,West,PROD-6037,Furniture,Furnishings,Furnishings - Item 78,413.47,6,0.1,37.21,2027-06
18,OD-000006,2027-06-20,2027-06-23,Second Class,Customer-0689,Customer-0689,Consumer,United States,Phoenix,California,97329,East,PROD-3130,Furniture,Bookcases,Bookcases - Item 16,684.93,1,0.05,148.63,2027-06
19,OD-000007,2034-09-13,2034-09-19,Same Day,Customer-0947,Customer-0947,Corporate,United States,San Antonio,Illinois,33782,East,PROD-3368,Office Supplies,Supplies,Supplies - Item 17,644.07,5,0.2,100.87,2034-09
20,OD-000007,2034-09-13,2034-09-18,First Class,Customer-0947,Customer-0947,Consumer,United States,New York,Pennsylvania,40750,East,PROD-1182,Office Supplies,Paper,Paper - Item 23,868.26,4,0.15,109.27,2034-09
21,OD-000007,2034-09-13,2034-09-15,Second Class,Customer-0947,Customer-0947,Corporate,United States,Houston,Pennsylvania,18244,South,PROD-7846,Office Supplies,Storage,Storage - Item 4,151.45,7,0.05,50.36,2034-09
22,OD-000007,2034-09-13,2034-09-19,Second Class,Customer-0947,Customer-0947,Corporate,United States,San Diego,California,58766,Central,PROD-8016,Technology,Machines,Machines - Item 76,408.42,9,0.0,77.78,2034-09
23,OD-000007,2034-09-13,2034-09-15,Second Class,Customer-0947,Customer-0947,Corporate,United States,Philadelphia,New York,37990,South,PROD-7056,Office Supplies,Binders,Binders - Item 6,254.36,9,0.2,182.72,2034-09
24,OD-000008,2020-04-11,2020-04-14,Second Class,Customer-0608,Customer-0608,Corporate,United States,San Antonio,Illinois,53148,Central,PROD-3224,Furniture,Furnishings,Furnishings - Item 70,383.54,3,0.2,-20.99,2020-04
25,OD-000008,2020-04-11,2020-04-13,Standard Class,Customer-0608,Customer-0608,Consumer,United States,Houston,Illinois,54760,South,PROD-8094,Technology,Phones,Phones - Item 10,147.72,5,0.2,168.88,2020-04
26,OD-000009,2033-08-09,2033-08-13,First Class,Customer-0617,Customer-0617,Consumer,United States,Philadelphia,New York,88356,South,PROD-8122,Furniture,Bookcases,Bookcases - Item 83,647.71,1,0.2,74.64,2033-08
27,OD-000009,2033-08-09,2033-08-13,Same Day,Customer-0617,Customer-0617,Consumer,United States,Chicago,Texas,77055,West,PROD-8935,Technology,Phones,Phones - Item 78,773.07,9,0.15,164.74,2033-08
28,OD-000010,2031-02-13,2031-02-15,Same Day,Customer-0420,Customer-0420,Consumer,United States,New York,Pennsylvania,44773,East,PROD-2772,Office Supplies,Storage,Storage - Item 34,400.79,8,0.15,134.65,2031-02
29,OD-000010,2031-02-13,2031-02-17,Second Class,Customer-0420,Customer-0420,Consumer,United States,Houston,California,72261,West,PROD-6184,Furniture,Bookcases,Bookcases - Item 21,294.54,3,0.2,-35.48,2031-02
30,OD-000011,2034-04-10,2034-04-12,Second Class,Customer-0250,Customer-0250,Consumer,United States,Phoenix,Pennsylvania,28199,West,PROD-9016,Office Supplies,Paper,Paper - Item 14,419.51,9,0.1,51.07,2034-04
