Order ID,Items,Item_Count
OD-000001,"[np.str_('Paper'), np.str_('Supplies')]",2
OD-000002,"[np.str_('Accessories'), np.str_('Machines')]",2
OD-000003,"[np.str_('Accessories'), np.str_('Supplies'), np.str_('Furnishings')]",3
OD-000004,"[np.str_('Binders'), np.str_('Labels'), np.str_('Phones'), np.str_('Furnishings')]",4
OD-000005,"[np.str_('Copiers'), np.str_('Phones')]",2
OD-000006,"[np.str_('Bookcases'), np.str_('Furnishings')]",2
OD-000007,"[np.str_('Paper'), np.str_('Binders'), np.str_('Machines'), np.str_('Storage'), np.str_('Supplies')]",5
OD-000008,"[np.str_('Phones'), np.str_('Furnishings')]",2
OD-000009,"[np.str_('Bookcases'), np.str_('Phones')]",2
OD-000010,"[np.str_('Bookcases'), np.str_('Storage')]",2
OD-000011,"[np.str_('Phones'), np.str_('Paper'), np.str_('Bookcases')]",3
OD-000012,"[np.str_('Phones'), np.str_('Chairs'), np.str_('Tables'), np.str_('Furnishings'), np.str_('Supplies')]",5
OD-000013,"[np.str_('Labels'), np.str_('Storage'), np.str_('Binders')]",3
OD-000014,"[np.str_('Accessories'), np.str_('Phones'), np.str_('Furnishings')]",3
OD-000015,"[np.str_('Bookcases'), np.str_('Storage')]",2
OD-000016,"[np.str_('Binders'), np.str_('Storage'), np.str_('Phones'), np.str_('Machines')]",4
OD-000017,"[np.str_('Labels'), np.str_('Copiers'), np.str_('Binders'), np.str_('Accessories')]",4
OD-000019,"[np.str_('Phones'), np.str_('Chairs'), np.str_('Binders'), np.str_('Copiers'), np.str_('Storage')]",5
OD-000020,"[np.str_('Labels'), np.str_('Tables')]",2
OD-000021,"[np.str_('Labels'), np.str_('Binders'), np.str_('Storage'), np.str_('Machines')]",4
OD-000022,"[np.str_('Copiers'), np.str_('Furnishings')]",2
OD-000023,"[np.str_('Accessories'), np.str_('Copiers')]",2
OD-000024,"[np.str_('Labels'), np.str_('Binders'), np.str_('Storage'), np.str_('Bookcases')]",4
OD-000025,"[np.str_('Labels'), np.str_('Copiers'), np.str_('Storage')]",3
OD-000026,"[np.str_('Phones'), np.str_('Storage')]",2
OD-000027,"[np.str_('Tables'), np.str_('Bookcases'), np.str_('Supplies'), np.str_('Chairs')]",4
OD-000028,"[np.str_('Copiers'), np.str_('Supplies'), np.str_('Furnishings')]",3
OD-000029,"[np.str_('Bookcases'), np.str_('Storage'), np.str_('Accessories'), np.str_('Chairs')]",4
OD-000030,"[np.str_('Accessories'), np.str_('Phones'), np.str_('Supplies'), np.str_('Furnishings')]",4
OD-000031,"[np.str_('Tables'), np.str_('Storage'), np.str_('Chairs')]",3
OD-000032,"[np.str_('Copiers'), np.str_('Chairs')]",2
OD-000033,"[np.str_('Accessories'), np.str_('Chairs'), np.str_('Bookcases'), np.str_('Tables'), np.str_('Supplies')]",5
OD-000034,"[np.str_('Storage'), np.str_('Phones'), np.str_('Supplies'), np.str_('Chairs')]",4
OD-000035,"[np.str_('Tables'), np.str_('Chairs')]",2
OD-000036,"[np.str_('Bookcases'), np.str_('Copiers'), np.str_('Phones')]",3
OD-000037,"[np.str_('Paper'), np.str_('Accessories'), np.str_('Chairs'), np.str_('Bookcases'), np.str_('Storage')]",5
OD-000038,"[np.str_('Chairs'), np.str_('Binders'), np.str_('Copiers'), np.str_('Furnishings')]",4
OD-000039,"[np.str_('Binders'), np.str_('Copiers'), np.str_('Accessories'), np.str_('Furnishings')]",4
OD-000040,"[np.str_('Paper'), np.str_('Phones')]",2
OD-000041,"[np.str_('Furnishings'), np.str_('Accessories'), np.str_('Tables'), np.str_('Chairs')]",4
OD-000042,"[np.str_('Bookcases'), np.str_('Furnishings')]",2
OD-000043,"[np.str_('Paper'), np.str_('Phones')]",2
OD-000044,"[np.str_('Binders'), np.str_('Copiers'), np.str_('Furnishings')]",3
OD-000045,"[np.str_('Accessories'), np.str_('Machines')]",2
OD-000046,"[np.str_('Supplies'), np.str_('Copiers'), np.str_('Machines'), np.str_('Furnishings')]",4
