Customer ID,Total_Orders,First_Order_Date,Last_Order_Date,Total_Sales,Avg_Order_Value,Sales_Variance,Min_Order_Value,Max_Order_Value,Total_Profit,Avg_Profit,Total_Quantity,Avg_Quantity,Avg_Discount,Max_Discount,Category_<lambda>,Region_<lambda>,Order_Frequency,Profit_Margin
Customer-0001,4,2030-06-29,2035-01-12,5794.94,413.9242857142857,262.83247380777,32.73,917.67,1182.19,84.44214285714285,65,4.642857142857143,0.05357142857142857,0.2,Office Supplies,South,0.07233273056057866,0.2040038378309353
Customer-0002,2,2025-05-16,2026-11-28,2915.21,416.4585714285714,294.31200663177003,69.34,807.47,771.1800000000001,110.16857142857144,35,5.0,0.09999999999999999,0.2,Technology,Central,0.10676156583629892,0.26453668860905394
Customer-0003,1,2034-03-02,2034-03-02,1377.3400000000001,688.6700000000001,207.04086553142113,542.27,835.07,-20.4,-10.2,16,8.0,0.05,0.1,Furniture,Central,30.0,-0.014811157738829916
Customer-0007,1,2028-01-15,2028-01-15,1516.3000000000002,303.26000000000005,333.30722479418296,21.09,836.95,307.61,61.522000000000006,24,4.8,0.13999999999999999,0.15,Furniture,South,30.0,0.2028688254303238
Customer-0008,4,2021-07-06,2033-01-23,8166.6900000000005,544.446,330.80724099865597,25.8,989.2,1332.94,88.86266666666667,76,5.066666666666666,0.11666666666666667,0.2,Office Supplies,South,0.028436018957345974,0.16321667652378136
Customer-0010,4,2026-01-04,2030-09-01,7821.66,558.6899999999999,265.51954921509,141.99,893.64,688.28,49.16285714285714,74,5.285714285714286,0.10714285714285714,0.2,Office Supplies,South,0.07050528789659224,0.0879966656694359
Customer-0012,6,2021-11-28,2032-08-13,13978.32,635.3781818181818,248.6114314047289,146.08,954.59,1875.74,85.2609090909091,103,4.681818181818182,0.10681818181818183,0.2,Furniture,West,0.046012269938650305,0.13418923017930626
Customer-0013,2,2024-06-23,2035-04-14,4520.78,502.3088888888889,266.8415443875093,97.64,892.67,533.59,59.287777777777784,39,4.333333333333333,0.1388888888888889,0.2,Office Supplies,South,0.015197568389057751,0.1180305168577104
Customer-0014,2,2025-06-01,2034-01-08,2425.48,485.096,77.43912854623304,364.23,577.46,198.62,39.724000000000004,20,4.0,0.09,0.2,Furniture,Central,0.019083969465648856,0.08188894569322361
Customer-0016,2,2027-08-24,2034-06-15,3622.52,517.5028571428571,342.4659376110411,42.11,984.3,330.69,47.24142857142857,40,5.714285714285714,0.08571428571428573,0.2,Furniture,South,0.024115755627009645,0.0912872806775394
Customer-0017,2,2027-07-20,2031-05-28,3891.9300000000003,648.6550000000001,321.30003615001357,90.45,973.52,438.63,73.105,23,3.8333333333333335,0.08333333333333333,0.2,Office Supplies,East,0.042583392476934,0.11270243812196004
